disease	taxon_rank_level	ncbi_taxon_id	samples	abus_mean	abus_median	abus_sd
D003424	genus	2316020	1666	3.099680524	1.159175622	5.781873197
D003424	genus	572511	1655	4.000882637	1.798319328	5.952361089
D003424	genus	816	1632	20.12863944	16.32507827	17.64938478
D003424	genus	1485	1498	1.549528079	0.678755068	3.283194467
D003424	genus	1678	1397	4.550961805	0.969565316	10.31960267
D003424	genus	207244	1368	1.478207469	0.496960025	4.806085894
D003424	genus	216851	1347	7.796209773	5.482426381	8.762018158
D003424	genus	375288	1336	3.044688322	1.50038178	5.780386965
D003424	genus	946234	1315	0.756260235	0.296501044	1.89576359
D003424	genus	841	1277	3.254445954	1.20580088	6.225013079
D003424	genus	909656	1249	17.34339662	12.58075748	16.6063241
D003424	genus	1301	1244	3.179780804	0.293230367	10.10303323
D003424	genus	239759	1191	4.28704911	2.365495112	5.629003933
D003424	genus	2719313	1181	1.722523957	0.375889887	4.431020535
D003424	genus	189330	1143	1.098578464	0.586959824	1.366883965
D003424	genus	28050	1113	1.530179469	0.641274652	2.545507805
D003424	genus	1407607	1103	1.256568717	0.54611	1.843819906
D003424	genus	39948	1067	2.612011373	1.076948831	5.549939416
D003424	genus	1730	1047	1.239489201	0.397029921	1.847594368
D003424	genus	1506553	1033	0.822491083	0.232360023	2.350533594
D003424	genus	1263	989	2.189630075	1.026883911	3.744432399
D003424	genus	459786	939	0.840877301	0.352977741	1.206554307
D003424	genus	561	935	6.294878069	0.747140374	14.38258276
D003424	genus	29465	932	3.101101908	0.342969983	7.752590222
D003424	genus	33042	867	0.894566591	0.394179882	1.508260961
D003424	genus	102106	838	1.081295038	0.347605104	2.068441678
D003424	genus	35832	835	0.453262861	0.225993843	0.691538991
D003424	genus	2591381	828	0.392879197	0.220647676	0.548097379
D003424	genus	1905344	808	0.697119461	0.115869988	2.085302082
D003424	genus	283168	753	0.638976163	0.44901	0.661466671
D003424	genus	577310	753	1.122854796	0.580511403	1.966750264
D003424	genus	1505663	752	0.765679292	0.154140039	1.996329142
