disease	taxon_rank_level	ncbi_taxon_id	samples	abus_mean	abus_median	abus_sd
D006262	genus	-1	29832	25.52508802	19.17918753	22.8246523
D006262	genus	816	26565	14.55713368	8.475229152	16.78211938
D006262	genus	216851	23886	6.755514137	4.868116487	7.215789902
D006262	genus	572511	23496	3.942789751	2.409437598	5.211787883
D006262	genus	1678	23268	7.053836543	1.937408835	13.92498997
D006262	genus	2316020	22696	2.002558371	0.895588786	4.345681692
D006262	genus	1485	22252	1.908102124	0.683046472	6.429861196
D006262	genus	375288	21938	1.81222469	1.058260761	3.208048979
D006262	genus	1730	21824	2.234545788	0.881090264	3.248396481
D006262	genus	239759	21133	4.247330534	2.238280671	6.308965003
D006262	genus	1301	21094	1.618758502	0.323655405	5.489245289
D006262	genus	1263	20434	2.805279887	1.422517577	4.073533877
D006262	genus	207244	20364	1.346722118	0.703045455	2.033439558
D006262	genus	189330	20101	1.071954541	0.65986	1.465704176
D006262	genus	1407607	19804	1.459642723	0.770885249	2.294777358
D006262	genus	841	19568	2.143885196	1.158544942	2.972982652
D006262	genus	28050	18894	1.412043253	0.703456363	2.375509932
D006262	genus	102106	17957	1.303860166	0.45653115	3.315494385
D006262	genus	33042	17487	1.163980691	0.639238354	1.874491535
D006262	genus	459786	16879	1.123792258	0.446679978	2.071543698
D006262	genus	35832	16359	1.133166559	0.191048035	7.615730958
D006262	genus	283168	15898	0.478729989	0.261901292	1.167760146
D006262	genus	946234	15301	0.399211064	0.139850014	1.009025771
D006262	genus	33024	14900	1.613203239	0.829143628	4.016689623
D006262	genus	40544	14439	1.409489003	0.711880712	2.671373765
D006262	genus	1501226	14076	0.725240842	0.166837502	2.575271626
D006262	genus	39948	13229	2.122759786	1.035749482	4.740596175
D006262	genus	1506553	12818	0.626010989	0.20814848	1.511529783
D006262	genus	29465	12750	1.981553884	0.167972801	6.711995469
D006262	genus	577310	12735	0.762157223	0.241136601	2.236560712
D006262	genus	909656	12175	9.921698794	5.91043346	11.52790102
D006262	genus	239934	12173	2.735326279	0.512291129	8.333211671
D006262	genus	397864	12133	0.850064147	0.484085189	1.337125237
D006262	genus	838	11710	9.142098654	1.936628983	15.59180133
D006262	genus	1505657	11381	0.422561434	0.128560013	1.059071921
D006262	genus	574697	11290	0.326979033	0.14319298	1.135884507
D006262	genus	580596	10817	0.529560059	0.281491907	0.772289135
D006262	genus	2039302	10345	0.548976198	0.276325616	1.10505589
D006262	genus	2048137	10301	0.324704182	0.19161	0.665029131
D006262	genus	292632	10293	3.222453718	1.760371179	5.205170265
D006262	genus	84111	10108	0.282962232	0.087761102	1.115709193
D006262	genus	204475	9781	1.234815669	0.631451893	2.083950017
D006262	genus	2591381	9690	0.298496637	0.155029953	0.466679363
D006262	genus	1392389	9512	0.163640522	0.051889664	0.320041759
D006262	genus	2569097	9469	0.689353722	0.46197	1.292922917
D006262	genus	2981631	9428	0.547290431	0.165607672	1.055279741
D006262	genus	1905344	9293	0.248869301	0.058550006	1.245116274
D006262	genus	1980681	9117	0.218822111	0.079286422	0.475670364
D006262	genus	2527773	9109	1.281035743	0.605339697	1.9794579
D006262	genus	2719313	9066	0.2893048	0.087365391	0.804709534
D006262	genus	61170	8986	0.06262675	0.024310925	0.186566223
D006262	genus	2005359	8694	0.262856015	0.072798527	1.200388763
D006262	genus	1766253	8375	2.76120926	1.514392991	4.373804659
D006262	genus	447020	8371	0.185887776	0.06503903	0.725842851
D006262	genus	2719231	8315	0.187424842	0.084540025	0.326746271
D006262	genus	191303	7781	0.285770779	0.063431652	1.281310056
D006262	genus	1654	7730	0.189438425	0.030790982	1.178768963
D006262	genus	2172004	7727	0.151505336	0.060080018	0.302462379
D006262	genus	2892396	7627	0.393251	0.144897498	0.787370078
D006262	genus	577309	7415	0.880326568	0.365676817	2.748303662
D006262	genus	561	7371	1.979632676	0.091790652	7.856824461
D006262	genus	244127	7346	0.081137222	0.016834582	0.513317091
D006262	genus	596767	7330	0.055023671	0.034250868	0.170260794
D006262	genus	2678885	7276	0.358601425	0.143290029	0.841909094
D006262	genus	2039240	7091	0.182688621	0.086119991	0.318063905
D006262	genus	724	7074	0.50605339	0.078408315	2.217130298
D006262	genus	1573535	6962	1.189372369	0.448233088	3.023555143
D006262	genus	872	6888	0.462801631	0.203910946	1.231000022
D006262	genus	1348911	6842	0.212604061	0.077114382	0.62952882
D006262	genus	2944193	6688	0.582117216	0.102801452	1.562790896
D006262	genus	1505663	6413	0.414404926	0.05849502	1.75858217
D006262	genus	2944200	6163	0.083759506	0.036899985	0.144870806
D006262	genus	906	6044	1.884682245	0.450171593	5.183650667
D006262	genus	2815777	5981	0.37853713	0.16034008	0.619040626
D006262	genus	1649459	5855	0.355564191	0.047007774	2.227447344
D006262	genus	1017280	5839	0.084966007	0.016252223	0.261888603
D006262	genus	1506577	5786	0.620681114	0.183534965	1.62353537
D006262	genus	644652	5664	0.092323004	0.02510596	0.878172333
D006262	genus	1473205	5554	0.309602041	0.095310428	1.076764144
D006262	genus	2211178	5370	0.182759797	0.116505654	0.22547614
D006262	genus	1980693	5366	0.257611511	0.103189953	0.711238658
D006262	genus	84108	5265	0.207064719	0.074178735	0.438505063
D006262	genus	32207	5220	0.432563679	0.026663365	2.910448984
D006262	genus	2974251	5171	16.57823176	6.841883637	20.68804716
D006262	genus	3025755	5140	1.057066113	0.155856617	5.697665097
D006262	genus	1432051	5112	0.209185239	0.048377004	0.540436491
D006262	genus	158846	5045	3.998620792	0.953375996	9.65322164
D006262	genus	1350	4979	1.775284336	0.177230018	6.997465436
D006262	genus	1769710	4894	0.333948569	0.130964262	0.563937664
D006262	genus	848	4571	1.368395114	0.206019605	4.823300499
D006262	genus	570	4358	2.164520092	0.194054378	7.978274138
D006262	genus	1578	4302	0.685285264	0.064674162	3.479488706
D006262	genus	2172	4176	1.540403217	0.195412772	7.196514352
D006262	genus	1357	4151	0.418968245	0.039129988	3.555131954
D006262	genus	2005473	4031	1.333536005	0.39714554	3.938502918
D006262	genus	904	3945	0.873241012	0.331374265	1.670405024
D006262	genus	172900	3943	0.132761293	0.03951998	0.414352356
D006262	genus	2944152	3917	0.897446473	0.30347	1.52126759
D006262	genus	1378	3898	0.093001276	0.020139998	0.358696915
D006262	genus	2529408	3854	0.047146029	0.014370001	0.213199919
D006262	genus	135858	3835	2.088120406	0.500941096	7.073977309
D006262	genus	209879	3794	0.153382952	0.049007949	0.426831053
D006262	genus	990721	3793	0.03587237	0.008569592	0.281099847
D006262	genus	1924093	3705	0.043265099	0.013118463	0.14411471
D006262	genus	2944198	3652	0.013215283	0.006630877	0.022331502
D006262	genus	1940255	3628	0.134257222	0.034357207	0.435428282
D006262	genus	2767887	3451	1.097951043	0.180340018	3.652923454
D006262	genus	2944148	3126	0.014664097	0.007125001	0.044563426
D006262	genus	86331	3092	0.140499043	0.011040002	0.496579249
D006262	genus	1926663	3054	0.017062619	0.007127248	0.04126219
D006262	genus	1279	2908	2.540179984	0.239470235	8.742938355
D006262	genus	117563	2818	0.062969318	0.007551137	0.364580969
D006262	genus	1283313	2817	2.041531178	0.608937047	4.151432271
D006262	genus	100883	2782	0.134823927	0.024439269	0.624158765
D006262	genus	1505652	2742	0.43729807	0.162722111	0.989703157
D006262	genus	2895461	2736	0.009559261	0.003270052	0.037623356
D006262	genus	1906119	2608	1.073489435	0.278317345	3.007636326
D006262	genus	123375	2561	0.173709622	0.024329995	0.777932264
D006262	genus	2759736	2412	0.74155114	0.080749412	3.186398185
D006262	genus	1573534	2391	0.308378541	0.079038887	0.724948302
D006262	genus	1472649	2353	0.049247663	0.011349999	0.178716747
D006262	genus	2764317	2334	0.0312535	0.011362894	0.06213767
D006262	genus	2740	2331	0.238885468	0.052504463	1.872908948
D006262	genus	1929297	2302	0.009864428	0.004285265	0.017353728
D006262	genus	2944199	2284	0.02784649	0.013285238	0.041888668
D006262	genus	580024	2281	0.396827694	0.074556008	1.198263177
D006262	genus	1935927	2255	0.009999345	0.005050094	0.022042143
D006262	genus	264995	2248	0.020105472	0.006392506	0.055702562
D006262	genus	2742598	2247	0.79661927	0.105394644	3.319238869
D006262	genus	1716	2240	0.433237345	0.016843214	2.758638446
D006262	genus	836	2232	0.449909456	0.024018791	1.72990914
D006262	genus	52784	2218	0.022933226	0.003960072	0.074940859
D006262	genus	2678884	2213	0.007761747	0.004550001	0.014186833
D006262	genus	248744	2179	0.184841799	0.084226646	0.286091011
D006262	genus	2944194	2144	0.203703861	0.065786628	0.484650531
D006262	genus	119852	2127	0.171053592	0.085106383	0.27723361
D006262	genus	547	2116	0.719150899	0.036044993	4.010761437
D006262	genus	2316203	2060	0.020841944	0.005015	0.072520919
D006262	genus	52225	2012	0.909569432	0.285613424	2.630350345
D006262	genus	508459	2012	0.217413566	0.027826544	1.141901697
D006262	genus	46255	2011	0.421762791	0.06438145	2.191504025
D006262	genus	194	2002	0.316959102	0.026668774	1.244824859
D006262	genus	1924110	1981	0.080146917	0.023119991	0.193815284
D006262	genus	133925	1969	0.275061276	0.043145292	1.513280706
D006262	genus	2944146	1957	0.026167626	0.009249099	0.058090231
D006262	genus	1918511	1952	0.153992134	0.067911781	0.307110832
D006262	genus	846	1933	0.090302317	0.035589993	0.161726832
D006262	genus	2508948	1925	0.080471431	0.025109902	0.20048738
D006262	genus	1763508	1893	0.010140602	0.003270001	0.025767472
D006262	genus	1926677	1826	0.043920829	0.010157571	0.107353336
D006262	genus	2005525	1819	0.276242062	0.109282737	0.60124275
D006262	genus	1243	1800	0.12520666	0.018674919	0.600176278
D006262	genus	1918450	1784	0.046721832	0.004409999	0.438626328
D006262	genus	286	1767	0.83222989	0.050128903	5.19809181
D006262	genus	2918511	1725	0.061008592	0.002500091	2.239747075
D006262	genus	2126544	1716	0.006639837	0.002581116	0.012734814
D006262	genus	1686313	1702	0.3118564	0.02448292	1.22721497
D006262	genus	1918536	1648	0.195601397	0.046405012	0.60524063
D006262	genus	162289	1645	1.358947124	0.045165356	4.371435556
D006262	genus	2038676	1639	0.126768008	0.048822165	0.525064644
D006262	genus	1935176	1599	0.027985422	0.014019994	0.049409195
D006262	genus	2137577	1588	0.141486104	0.06820087	0.227357567
D006262	genus	404402	1522	0.20124839	0.064203705	0.460554481
D006262	genus	2983250	1515	0.004571236	0.002324391	0.007499301
D006262	genus	1987016	1484	0.008141801	0.003090125	0.016840911
D006262	genus	2163168	1481	0.280123708	0.06754	0.547586912
D006262	genus	469	1433	3.970647184	0.096540628	13.67117595
D006262	genus	165779	1412	1.860130382	0.028690003	5.84370957
D006262	genus	1380	1395	0.160581946	0.02657555	1.061402419
D006262	genus	543311	1373	0.185178961	0.015177578	1.002638141
D006262	genus	2944149	1372	0.006705844	0.002821278	0.015631366
D006262	genus	2005355	1361	0.497047573	0.128620013	1.420172742
D006262	genus	1386	1349	0.577468998	0.088936322	2.768800569
D006262	genus	420345	1337	0.029785707	0.007359667	0.079345781
D006262	genus	1257	1305	0.401830502	0.026020016	1.933125485
D006262	genus	482	1303	0.340059614	0.019030002	2.463877346
D006262	genus	150022	1295	1.776127212	0.039504872	4.9285043
D006262	genus	2975519	1270	0.348258796	0.089474896	0.670879159
D006262	genus	2944143	1229	0.010344438	0.004551253	0.032332063
D006262	genus	3028852	1217	0.084416312	0.017930787	0.371317817
D006262	genus	2696673	1216	1.637053924	0.282801381	3.661022125
D006262	genus	83770	1210	4.549564109	0.368293878	9.221120745
D006262	genus	2944144	1193	0.00662365	0.002372357	0.01613899
D006262	genus	2023266	1178	0.139400425	0.046507502	0.270423059
D006262	genus	1935200	1171	0.149021615	0.016380687	1.155278696
D006262	genus	638847	1145	0.132088192	0.034775127	0.525800661
D006262	genus	1635148	1084	0.035389614	0.011520574	0.088621598
D006262	genus	544	1078	0.329108345	0.023055002	1.571090241
D006262	genus	2082587	1028	0.296160792	0.081851129	0.789152066
D006262	genus	1738645	1014	0.072018773	0.022442226	0.160522623
D006262	genus	1472762	1004	0.172349593	0.02504952	0.51879369
D006262	genus	2944197	1004	0.022971459	0.008386843	0.045528616
D006262	genus	1924105	955	0.121348472	0.041834189	0.258567156
D006262	genus	2494213	948	0.407797009	0.158282838	0.734982556
D006262	genus	2847314	935	0.183250625	0.075379977	0.378599227
D006262	genus	1870884	925	3.364135496	0.198033807	12.16403533
D006262	genus	1582879	924	0.25472631	0.011628793	1.154661101
D006262	genus	1928820	897	0.008153122	0.00259	0.020558027
D006262	genus	84026	881	0.053398581	0.0227611	0.138680979
D006262	genus	265975	857	0.419636606	0.046210009	4.163861502
D006262	genus	830	854	1.811287002	0.383018694	4.487336622
D006262	genus	2717089	854	0.07994514	0.013573563	0.199309578
D006262	genus	2789662	850	0.021198962	0.003015134	0.19147343
D006262	genus	184869	767	0.393899802	0.041736227	1.111124048
D006262	genus	2093825	764	0.307622637	0.023468079	2.15231062
D006262	genus	1573536	761	0.149319253	0.020709998	0.49468403
D006262	genus	2944145	748	0.004631513	0.002450714	0.005905976
D006262	genus	1470353	726	0.090882264	0.031294007	0.461940977
D006262	genus	12967	725	0.131389523	0.056693921	0.277884641
D006262	genus	2767353	715	0.016973934	0.003000095	0.110287428
D006262	genus	160674	698	0.468794822	0.01351354	3.018044815
D006262	genus	1470349	690	0.115014125	0.024403785	0.331193997
D006262	genus	1980697	680	0.844337188	0.33401431	1.530376647
D006262	genus	2749846	670	0.075828066	0.01947	0.178503967
D006262	genus	31977	669	0.116529292	0.010762403	0.295200422
D006262	genus	583	661	0.413928048	0.050219995	1.765002345
D006262	genus	2767842	658	0.40447126	0.017446037	2.287259545
D006262	genus	2171986	649	0.06374356	0.043841452	0.120117964
D006262	genus	1847725	631	0.148141617	0.024306896	0.405045929
D006262	genus	1926556	631	0.057921241	0.017230003	0.128015596
D006262	genus	283	621	0.482134847	0.012246294	3.473466075
D006262	genus	2316	619	0.411981189	0.045538493	2.596568245
D006262	genus	1266	610	0.834663335	0.02846496	3.364902609
D006262	genus	1774107	609	0.278923223	0.021342765	1.360562095
D006262	genus	40323	597	1.272160733	0.041780402	5.704574139
D006262	genus	2983247	587	0.031365393	0.013864404	0.053804988
D006262	genus	2086	585	0.609757191	0.103502525	2.233683925
D006262	genus	1981028	576	0.098736082	0.018973849	0.224816843
D006262	genus	76833	574	0.014301033	0.002510225	0.059003253
D006262	genus	1926672	560	2.694136784	1.235313468	4.082312608
D006262	genus	46123	557	0.121556509	0.031104199	0.264493458
D006262	genus	1918538	543	0.259787884	0.04296409	0.601120083
D006262	genus	2944150	543	0.053458576	0.01783202	0.154282007
D006262	genus	581	540	0.589602417	0.026507383	4.596471527
D006262	genus	35583	537	4.198695	2.360732372	6.24410343
D006262	genus	2152	536	1.76933336	0.09664612	8.33753984
D006262	genus	2767885	534	0.296348107	0.02803502	3.298914052
D006262	genus	209	526	1.080724165	0.062980958	5.921022086
D006262	genus	2701	521	0.371262635	0.011042708	1.952605758
D006262	genus	1161127	521	0.405349171	0.02466435	1.22953551
D006262	genus	2944151	519	0.009071403	0.002015202	0.029306867
D006262	genus	2745	516	2.272400369	0.080432421	6.111398013
D006262	genus	196081	513	0.037856359	0.003310012	0.115287753
D006262	genus	156454	497	0.279889386	0.022492356	1.046411392
D006262	genus	909928	488	0.35683312	0.06572085	0.941000698
D006262	genus	180162	485	0.65863236	0.121605188	3.495545147
D006262	genus	1253	481	1.212373644	0.07103534	5.276535882
D006262	genus	177971	477	0.077440817	0.022503094	0.150719465
D006262	genus	255528	474	0.145405569	0.021464819	0.55318153
D006262	genus	2944147	472	0.000939131	0.000450079	0.00157755
D006262	genus	2383	463	0.52076367	0.038711675	3.076795065
D006262	genus	48736	461	1.465853053	0.113076488	7.004723881
D006262	genus	1827195	453	0.351564936	0.054282923	1.969002164
D006262	genus	568	445	0.362153848	0.013033029	2.135158211
D006262	genus	416916	441	0.073711739	0.020446946	0.212864391
D006262	genus	2749267	436	0.380993215	0.075309977	0.924136117
D006262	genus	82373	433	0.487341362	0.043410227	1.131958298
D006262	genus	2983509	432	0.069915827	0.018096994	0.14542482
D006262	genus	1743	420	0.023114265	0.004970753	0.061452682
D006262	genus	419014	419	0.072767108	0.018076304	0.232994787
D006262	genus	2070447	411	0.13178279	0.010754505	0.636885349
D006262	genus	1912216	407	1.554923208	0.063882456	6.648061833
D006262	genus	423604	398	0.855742156	0.183498191	2.113990628
D006262	genus	1827	386	0.333408073	0.134162622	2.063064639
D006262	genus	41275	381	0.781503183	0.036238449	5.247653414
D006262	genus	258514	381	0.027769942	0.00440246	0.060487267
D006262	genus	29521	380	1.540727812	0.22056	8.416036085
D006262	genus	1164882	380	0.098227603	0.004735084	0.662543202
D006262	genus	970	376	0.118581871	0.005549996	0.418850996
D006262	genus	157	372	1.953507878	0.215900464	4.663010812
D006262	genus	13687	362	0.999974402	0.067239017	4.748141527
D006262	genus	40840	359	0.36708015	0.029606409	1.089118085
D006262	genus	579	355	0.129237032	0.017039997	0.547111618
D006262	genus	1929305	338	0.096663083	0.016549021	0.372463849
D006262	genus	168808	334	0.389490069	0.013686577	1.756812378
D006262	genus	588605	325	0.250050873	0.016744321	0.907384114
D006262	genus	109326	323	0.024946266	0.003292685	0.066981409
D006262	genus	2126006	315	0.079140992	0.028419856	0.278064819
D006262	genus	1903506	314	0.2672315	0.087020017	0.452303673
D006262	genus	651554	313	0.094519225	0.008387306	0.270726499
D006262	genus	22	296	1.660844975	0.274224605	3.559814627
D006262	genus	2050	292	0.344885687	0.063900874	0.88442588
D006262	genus	2813348	290	0.037091583	0.005735103	0.093753528
D006262	genus	1849822	286	0.101044164	0.014889967	0.343873372
D006262	genus	1987748	286	0.540683946	0.164443528	1.430238511
D006262	genus	2767881	274	0.140571476	0.021851904	0.303063307
D006262	genus	32067	272	0.249753404	0.035362346	0.75521913
D006262	genus	698776	272	0.213228792	0.025581278	1.128266538
D006262	genus	2767879	270	0.102536546	0.011364201	0.28357455
D006262	genus	1892380	269	0.038917632	0.010859363	0.08055537
D006262	genus	2753	265	0.150194438	0.002799991	0.478070329
D006262	genus	674963	251	0.111241683	0.050860015	0.157679333
D006262	genus	236752	248	0.348594519	0.030354118	1.080047252
D006262	genus	2126002	248	0.04507467	0.009684997	0.108686243
D006262	genus	2801844	248	0.010331829	0.002840995	0.028852695
D006262	genus	237	247	0.200631825	0.046726243	0.7179424
D006262	genus	2093823	245	0.018797757	0.004040143	0.070598694
D006262	genus	2049	240	0.406932023	0.069678785	0.958736284
D006262	genus	1213720	240	0.103398298	0.009470168	0.552402597
D006262	genus	2983459	232	0.074230384	0.029289994	0.131500656
D006262	genus	156973	231	2.238742766	0.149724192	6.428895899
D006262	genus	28138	227	0.179175011	0.026514649	0.487788908
D006262	genus	1331051	227	0.18744667	0.018648019	0.463036212
D006262	genus	2847307	226	0.210048927	0.02983501	1.48442588
D006262	genus	59732	221	1.605205377	0.047835446	6.48665124
D006262	genus	497	216	0.490043406	0.00739953	5.360955132
D006262	genus	165695	215	1.042661642	0.065806791	5.160163678
D006262	genus	1918540	214	0.233856667	0.083552529	0.519279545
D006262	genus	1774128	207	0.024541711	0.003789999	0.090630115
D006262	genus	2767886	205	0.743796558	0.007812868	3.486397775
D006262	genus	212791	204	1.022022994	0.057367221	3.545267655
D006262	genus	1929045	203	0.017839475	0.004135001	0.038085243
D006262	genus	47670	200	0.071621739	0.006200974	0.323455614
D006262	genus	384638	200	0.365069629	0.190157713	0.478881453
D006262	genus	2884610	196	0.047086806	0.011470712	0.124463341
D006262	genus	2944196	196	0.456913364	0.022870011	1.634243266
D006262	genus	475	194	0.382313227	0.053344726	1.413963306
D006262	genus	28453	194	0.14422807	0.003436381	0.527339345
D006262	genus	407	193	0.747270302	0.038571743	3.262519959
D006262	genus	613	193	1.023808206	0.03121377	6.875275397
D006262	genus	35829	193	0.035819739	0.010769999	0.077952873
D006262	genus	162290	190	0.468754454	0.078997412	1.77059427
D006262	genus	1849828	189	0.478222323	0.02544	4.250817178
D006262	genus	2171988	187	0.00547414	0.002110001	0.009156072
D006262	genus	1918598	182	0.148032007	0.020361904	0.36438378
D006262	genus	2093	181	1.252976031	0.048506521	2.179941251
D006262	genus	84162	181	0.025390884	0.000997287	0.135608536
D006262	genus	106589	181	0.170482097	0.033710571	1.15277388
D006262	genus	2683202	181	0.097798457	0.010110001	0.310018489
D006262	genus	43994	180	0.034206362	0.008535242	0.13925235
D006262	genus	100175	180	0.027154069	0.011989025	0.040942755
D006262	genus	501783	174	0.152249978	0.060458394	0.212103709
D006262	genus	1696	171	0.401297861	0.101694915	1.023257081
D006262	genus	1080709	169	0.241301299	0.107339326	0.304142039
D006262	genus	174708	167	0.105468004	0.010400682	0.241302603
D006262	genus	1926655	165	1.777302381	0.671039866	3.8840206
D006262	genus	265	164	0.277802687	0.023642469	1.668565308
D006262	genus	149698	160	0.074393637	0.00939271	0.189659001
D006262	genus	1504576	160	0.097721323	0.018383085	0.206380386
D006262	genus	1729679	160	0.22188291	0.080762814	0.53546589
D006262	genus	1715798	159	0.090433119	0.007680251	0.412872233
D006262	genus	1937008	159	0.222099041	0.09539709	0.296487829
D006262	genus	642	153	0.322043488	0.048510005	0.731446385
D006262	genus	40674	153	6.37209474	2.547770701	9.55461722
D006262	genus	29393	151	0.049618789	0.012930338	0.093659568
D006262	genus	374	148	0.360253297	0.034975912	1.091133037
D006262	genus	294702	148	0.110319651	0.00557235	0.181968312
D006262	genus	28100	146	0.456336706	0.088241214	1.387851305
D006262	genus	2740557	146	0.003852408	0.0017	0.006527388
